,Ward_id_2008_2017,Variance_2008_2017,Ward_id_2009_2017,Variance_2009_2017,Ward_id_2010_2017,Variance_2010_2017,Ward_id_2011_2017,Variance_2011_2017
120,117,0.004046258,354,0.003942831,506,0.00376261,617,0.003715492
121,88,0.004024839,60,0.003916981,607,0.003754554,180,0.003692374
122,572,0.004023566,376,0.003886537,317,0.003750399,577,0.003692128
123,608,0.004015767,168,0.003848657,85,0.003749515,189,0.003672901
124,252,0.004015136,280,0.003845734,354,0.003748213,500,0.003671951
125,280,0.003977176,621,0.003833267,285,0.003737155,178,0.003665557
126,329,0.003976644,317,0.003803227,89,0.003731481,190,0.003660055
127,200,0.003970722,312,0.003789213,440,0.003725675,319,0.00363819
128,60,0.003957508,616,0.003771081,258,0.003710353,66,0.003618595
129,193,0.003950549,85,0.003763211,335,0.003703311,318,0.00361262
130,110,0.003943349,397,0.003756678,568,0.003686341,341,0.003603733
131,168,0.003938136,608,0.003748256,351,0.003680863,616,0.003603216
132,317,0.00393154,535,0.00372504,616,0.003673667,535,0.003597061
133,170,0.003927566,118,0.003712007,277,0.003671602,160,0.003592712
134,81,0.00390205,170,0.003710021,535,0.003662951,438,0.003570289
135,535,0.00389526,318,0.003698965,319,0.003656662,607,0.003555331
136,330,0.003879372,229,0.003695455,295,0.003655708,425,0.003549645
137,177,0.003878063,146,0.003686111,86,0.003652188,73,0.003537467
138,66,0.003876808,285,0.003685765,570,0.003648786,268,0.00351523
139,318,0.003867292,66,0.003670168,190,0.003634882,177,0.003509245
140,405,0.003863721,438,0.003668169,66,0.003619884,155,0.003489103
141,376,0.003849122,190,0.003663731,384,0.003612383,146,0.003474955
142,145,0.00384307,178,0.003654435,178,0.003593377,247,0.003457563
143,616,0.003828554,446,0.003649616,428,0.003589509,104,0.003452951
144,229,0.003824456,330,0.003646394,438,0.003587204,170,0.003442204
145,178,0.003813449,264,0.003643774,146,0.003578914,93,0.003438514
146,85,0.003803038,193,0.003632557,318,0.003575814,79,0.003436316
147,190,0.003800857,440,0.003623507,155,0.003575601,81,0.003432387
148,294,0.00379018,258,0.003621114,170,0.003566372,151,0.003430857
149,573,0.003784789,572,0.00361299,180,0.003564285,295,0.003422488
150,325,0.00378183,177,0.003596757,177,0.003552714,441,0.003414504
151,438,0.003780264,110,0.003596109,193,0.003546312,503,0.003404104
152,498,0.003777305,610,0.003594007,229,0.003503553,9,0.003399214
153,621,0.003776858,405,0.003593302,577,0.003475205,99,0.003386452
154,180,0.003771069,180,0.00359171,93,0.0034653,454,0.003378837
155,146,0.003761802,570,0.00359142,99,0.003460619,414,0.003374347
156,454,0.003736239,454,0.003586082,330,0.003455892,346,0.003364034
157,312,0.003731242,568,0.003584758,81,0.003454138,538,0.003355544
158,285,0.003726109,89,0.003574211,454,0.003451344,350,0.003353326
159,397,0.003714583,81,0.003572412,416,0.003413815,157,0.003351235
160,610,0.003711072,319,0.003545072,110,0.003409264,496,0.003347956
161,446,0.003697287,389,0.003530616,503,0.003398252,354,0.00334155
162,416,0.003653768,335,0.003528021,9,0.003390565,28,0.003338869
163,264,0.003648597,145,0.003525841,350,0.003387438,582,0.003334578
164,93,0.003648495,99,0.003502623,268,0.003360885,19,0.003294221
165,157,0.003643236,416,0.003496166,441,0.003358486,416,0.003284169
166,296,0.00364,461,0.003476859,405,0.003356086,330,0.003282578
167,347,0.003632537,93,0.003476598,608,0.003355899,262,0.00327318
168,461,0.00362148,155,0.003470314,235,0.003350776,110,0.003254179
169,89,0.003611443,503,0.003458576,157,0.003346262,327,0.003253384
170,175,0.003609568,268,0.003450408,79,0.003336863,432,0.003253349
171,441,0.003596855,577,0.003449967,582,0.003334578,235,0.00322974
172,568,0.003591266,62,0.00344151,461,0.003328204,27,0.003223834
173,503,0.003583973,157,0.003429876,0,0.003324924,0,0.003221382
174,9,0.003580181,27,0.003418544,446,0.003322646,86,0.003219367
175,440,0.003579062,294,0.00340715,27,0.003314065,610,0.003198656
176,577,0.003573242,350,0.003402692,389,0.003311898,337,0.003195697
177,570,0.003559854,262,0.003386866,610,0.00331104,351,0.003155148
178,262,0.003548707,235,0.003379438,262,0.0032876,428,0.003153745
179,414,0.003540171,498,0.003375387,346,0.003286926,389,0.003139651
180,118,0.003527199,441,0.003363048,145,0.00327941,405,0.00313709
181,319,0.003518657,9,0.003359103,414,0.003275249,461,0.003132803
182,258,0.003511893,175,0.003354024,62,0.003272416,145,0.003130705
183,99,0.003503493,414,0.003341039,247,0.003269068,608,0.003115116
184,109,0.003491875,582,0.003334578,538,0.003259933,68,0.003084384
185,155,0.003487762,0,0.003324881,28,0.003254768,294,0.003057855
186,62,0.003475129,37,0.003302952,337,0.003235746,179,0.003053866
187,179,0.003474445,342,0.003300876,19,0.003202181,532,0.00305368
188,235,0.003444879,247,0.00330019,151,0.003200568,499,0.003053497
189,27,0.003436893,296,0.003298506,432,0.003136117,277,0.003019469
190,309,0.003435977,325,0.003293247,498,0.003135345,266,0.003005985
191,413,0.003425159,109,0.003287362,294,0.003127454,296,0.003001176
192,22,0.003423872,179,0.003284162,499,0.003126264,455,0.002987642
193,350,0.003415938,309,0.003254182,296,0.003111548,575,0.002962638
194,582,0.003404572,538,0.00324366,37,0.00310535,412,0.002958048
195,268,0.003397755,79,0.003232996,194,0.00310335,229,0.002955943
196,37,0.003393512,499,0.003225297,455,0.003101991,415,0.002955313
197,335,0.003385863,200,0.003223225,532,0.003079842,256,0.002951069
198,261,0.003381339,174,0.003221505,309,0.003062184,384,0.002950421
199,342,0.003380433,337,0.003214767,179,0.003053175,14,0.002947163
200,166,0.003374973,347,0.003207109,415,0.003052916,314,0.002943899
201,0,0.003359913,618,0.003197773,109,0.003049654,259,0.002943145
202,174,0.003350205,346,0.00319652,261,0.003046467,62,0.002938023
203,499,0.003302747,261,0.003192615,84,0.003038853,379,0.002929238
204,65,0.003301311,84,0.003171106,175,0.003038203,271,0.002926188
205,542,0.00329101,28,0.003164867,61,0.003012058,498,0.002911401
206,281,0.00328637,314,0.003138386,314,0.003000075,309,0.002910531
207,84,0.003284255,455,0.00313647,68,0.002996334,37,0.002884477
208,437,0.003277809,19,0.003135168,256,0.002990636,234,0.0028826
209,14,0.003261581,532,0.003134099,613,0.00297141,105,0.002869171
210,337,0.003247338,166,0.003131781,424,0.002970537,84,0.002846063
211,538,0.003245134,437,0.003131767,259,0.002964206,200,0.002842963
212,346,0.003244362,344,0.003127387,572,0.002951591,33,0.002828705
213,106,0.003243983,415,0.003114686,412,0.00295031,424,0.00281952
214,31,0.00323499,197,0.00310993,325,0.002948354,613,0.002814824
215,314,0.003216929,194,0.003105048,575,0.002947076,437,0.002803746
216,271,0.003207239,151,0.00306143,437,0.002936664,543,0.002799727
217,79,0.003207095,413,0.003060034,200,0.002925101,267,0.002792432
218,618,0.003177487,613,0.003056847,267,0.002916912,542,0.00277498
219,532,0.00317698,542,0.0030452,542,0.002913917,387,0.002752436
220,194,0.003156954,61,0.003043781,543,0.002910477,413,0.002734584
221,344,0.00315558,68,0.003039768,234,0.002906996,325,0.00273358
222,19,0.003152225,432,0.003026478,342,0.002906153,61,0.002724298
223,28,0.00315089,14,0.003017199,271,0.002900699,175,0.002721665
224,292,0.003139709,575,0.003010822,14,0.00289059,446,0.002684658
225,455,0.003133845,271,0.003008284,105,0.002881795,59,0.002680573
226,33,0.003123209,267,0.003006646,78,0.002875705,426,0.002676626
227,412,0.003116083,259,0.003005972,33,0.002862099,20,0.002674438
228,415,0.003105868,65,0.002988578,166,0.002851694,444,0.002668179
229,613,0.003090492,31,0.002988124,413,0.002843863,320,0.002647409
230,61,0.003072159,78,0.002981732,344,0.002835932,204,0.002635237
231,259,0.003047985,33,0.002979302,379,0.002804709,109,0.002634739
232,64,0.003044152,412,0.00297403,114,0.002782664,101,0.00263138
233,505,0.003040318,105,0.00296007,573,0.002754638,261,0.002629851
234,114,0.003025059,22,0.00295858,59,0.002748493,174,0.002628253
235,267,0.003019276,281,0.0029537,31,0.002746023,573,0.002626376
236,353,0.003012676,320,0.002947356,240,0.002735879,114,0.002610761
237,606,0.003009127,256,0.002916179,347,0.002722936,284,0.002607455
238,68,0.003005491,543,0.002906253,65,0.00268757,240,0.002599354
239,595,0.003000155,64,0.002896521,320,0.002685353,231,0.002592553
240,151,0.002992033,114,0.002889973,83,0.002681634,574,0.002576952
241,105,0.0029889,606,0.002879702,426,0.002680645,450,0.002574121
242,286,0.002978232,106,0.002879253,231,0.002676574,78,0.002560293
243,432,0.002977324,234,0.002873199,64,0.002675866,31,0.002553561
244,101,0.002974851,424,0.002866761,606,0.002662239,166,0.002540248
245,320,0.00297,59,0.002863541,174,0.002660723,248,0.002538147
246,59,0.002967112,573,0.002829387,102,0.002659252,302,0.002522835
247,78,0.002953995,505,0.002822446,281,0.002658973,29,0.002505836
248,195,0.0029296,102,0.002807198,302,0.002654737,301,0.002502687
249,76,0.00292793,302,0.002788884,101,0.002650891,457,0.002501307
250,575,0.002926794,94,0.002775292,20,0.002650306,83,0.002483103
251,340,0.002918605,195,0.002770435,450,0.002647789,427,0.002479587
252,94,0.002910372,379,0.002768386,618,0.002647683,410,0.002477467
253,302,0.00290678,353,0.002751452,340,0.002624385,401,0.00247237
254,338,0.002903193,83,0.002747157,195,0.002608397,353,0.002448081
255,543,0.002880395,240,0.00274131,444,0.002594713,463,0.002447034
256,102,0.002834317,76,0.002737802,457,0.002572782,345,0.002443771
257,494,0.002826843,338,0.002736181,574,0.00257107,420,0.002442194
258,161,0.002823123,101,0.002727316,353,0.00257078,347,0.002439272
259,424,0.002822552,450,0.002724254,94,0.002566265,191,0.002435799
260,20,0.00280892,233,0.002708718,387,0.002565554,545,0.002432791
261,457,0.00280633,340,0.002697247,204,0.002554452,186,0.002426164
262,332,0.002805185,457,0.002680463,284,0.002551151,102,0.00242059
263,246,0.002801354,622,0.002670356,338,0.002540073,340,0.002419235
264,379,0.00279547,292,0.002660739,401,0.002524991,65,0.002419142
265,233,0.002775413,284,0.002657447,22,0.002517893,529,0.002411917
266,234,0.00276904,20,0.002652362,427,0.002516357,194,0.002409924
267,256,0.002765935,401,0.002643966,106,0.002495705,195,0.002407367
268,622,0.002760786,595,0.002620094,529,0.002493219,22,0.002399795
269,545,0.002758925,426,0.002615485,29,0.002493081,572,0.00239198
270,83,0.002753404,444,0.002611818,490,0.002478572,76,0.002377888
271,401,0.002752586,286,0.002586364,107,0.002477083,161,0.002370602
272,248,0.002737664,21,0.00258218,233,0.00247327,331,0.002369787
273,303,0.00272527,246,0.002577322,21,0.002467543,606,0.002352363
274,240,0.002722348,490,0.002575248,463,0.002463095,338,0.002352156
275,450,0.002713895,303,0.002563068,505,0.002457897,115,0.002346175
276,186,0.002710531,529,0.002562393,298,0.002444334,490,0.002345403
277,490,0.002703049,545,0.002557803,248,0.002443256,6,0.002343049
278,21,0.002682747,409,0.002556954,348,0.00244208,281,0.002335183
279,444,0.002681827,248,0.002546513,76,0.002441934,421,0.002329305
280,410,0.002671571,427,0.002545032,191,0.002439408,279,0.002325285
281,284,0.002663187,186,0.002540991,622,0.002439351,35,0.002322747
282,426,0.002657344,574,0.002538808,301,0.002439064,348,0.002321741
283,447,0.002655633,387,0.00253327,545,0.002433706,75,0.002321656
284,409,0.002642687,298,0.002527543,331,0.002424485,298,0.002317173
285,115,0.002640602,29,0.00252475,186,0.002423469,64,0.002316825
286,529,0.002630067,115,0.002500726,303,0.002419932,232,0.002306254
